,percentage missing,lag,iteration,Persistence,FD50,Feature-Driven,Feature-Driven-L1,RF,FDRR-R,FDRR-A
0,65.229,1,4,0.696993434,0.651517048,0.651517048,0.651517048,0.634986503,0.481401502,0.873344236
0,65.229,1,3,0.704071446,0.656698276,0.656698276,0.656698276,0.639844129,0.464884698,0.883073394
0,65.229,1,2,0.650276165,0.606220727,0.606220727,0.606220727,0.590092991,0.433444583,0.882772179
0,65.229,1,1,0.593242697,0.564535286,0.564535286,0.564535286,0.570545498,0.436990154,0.886324755
0,65.229,1,0,0.591385556,0.556747934,0.556747934,0.556747934,0.559580836,0.455891463,0.894759639
0,51.715,1,4,0.482338005,0.458814357,0.458814357,0.458814357,0.470248432,0.32596129,0.726422359
0,51.715,1,3,0.484785911,0.459883926,0.459883926,0.459883926,0.494236144,0.343791414,0.680883208
0,51.715,1,2,0.551951205,0.516539731,0.516539731,0.516539731,0.523806132,0.341298831,0.728134152
0,51.715,1,1,0.578653922,0.536454132,0.536454132,0.536454132,0.523742498,0.347427757,0.69875264
0,51.715,1,0,0.523028484,0.485786327,0.485786327,0.485786327,0.470709901,0.350654915,0.735406896
0,16.479,1,4,0.334503736,0.31263808,0.31263808,0.31263808,0.323498172,0.25365829,0.38864434
0,16.479,1,3,0.331062838,0.311615384,0.311615384,0.311615384,0.318285562,0.254965205,0.37571714
0,16.479,1,2,0.33405998,0.31578827,0.31578827,0.31578827,0.32630793,0.242824671,0.348853174
0,16.479,1,1,0.307637784,0.289256802,0.289256802,0.289256802,0.294365533,0.249625776,0.359345627
0,16.479,1,0,0.301926032,0.28887591,0.28887591,0.28887591,0.305986141,0.249658795,0.366634043
0,8.505,1,4,0.298427544,0.281039635,0.281039635,0.281039635,0.283125538,0.241744504,0.295174482
0,8.505,1,3,0.287695689,0.273481175,0.273481175,0.273481175,0.273867403,0.232375257,0.315981272
0,8.505,1,2,0.30984475,0.291991221,0.291991221,0.291991221,0.300068683,0.233327852,0.280292494
0,8.505,1,1,0.269476176,0.259778576,0.259778576,0.259778576,0.264905086,0.245097903,0.295748258
0,8.505,1,0,0.259500892,0.254093,0.254093,0.254093,0.276548178,0.237587361,0.286086071
0,2.725,1,4,0.227614655,0.219911826,0.219911826,0.219911826,0.232076779,0.216163816,0.228184102
0,2.725,1,3,0.239046994,0.230612196,0.230612196,0.230612196,0.243327395,0.222213622,0.242446854
0,2.725,1,2,0.225092216,0.218083293,0.218083293,0.218083293,0.231610672,0.222266553,0.230025438
0,2.725,1,1,0.230821511,0.225530209,0.225530209,0.225530209,0.241931491,0.221707108,0.231623022
0,2.725,1,0,0.236716512,0.227903414,0.227903414,0.227903414,0.237896608,0.216872112,0.227202019
0,0,1,4,0.222537542,0.215719777,0.215719777,0.215719777,0.228452379,0.215719777,0.215719777
0,0,1,3,0.222537542,0.215719777,0.215719777,0.215719777,0.228452379,0.215719777,0.215719777
0,0,1,2,0.222537542,0.215719777,0.215719777,0.215719777,0.228452379,0.215719777,0.215719777
0,0,1,1,0.222537542,0.215719777,0.215719777,0.215719777,0.228452379,0.215719777,0.215719777
0,0,1,0,0.222537542,0.215719777,0.215719777,0.215719777,0.228452379,0.215719777,0.215719777
0,65.229,2,4,0.639093681,0.584944541,0.584944541,0.584944541,0.567595086,0.429425646,1.084256606
0,65.229,2,3,0.569892066,0.513377877,0.513377877,0.513377877,0.505575265,0.429412838,1.087411102
0,65.229,2,2,0.614843602,0.55557092,0.55557092,0.55557092,0.545711248,0.422810047,1.038163685
0,65.229,2,1,0.617974426,0.56256208,0.56256208,0.56256208,0.562927578,0.479732644,1.039431437
0,65.229,2,0,0.592104238,0.542925098,0.542925098,0.542925098,0.561665013,0.461529438,1.036788056
0,51.715,2,4,0.464910074,0.425529231,0.425529231,0.425529231,0.427521627,0.347675421,0.76400976
0,51.715,2,3,0.469655342,0.433361343,0.433361343,0.433361343,0.437489011,0.348274504,0.788491332
0,51.715,2,2,0.55468194,0.509953224,0.509953224,0.509953224,0.52208611,0.36279857,0.844592646
0,51.715,2,1,0.475895788,0.434050441,0.434050441,0.434050441,0.437574423,0.341556544,0.809045569
0,51.715,2,0,0.541841763,0.482607984,0.482607984,0.482607984,0.482424645,0.335493085,0.752526091
0,16.479,2,4,0.28521459,0.266946541,0.266946541,0.266946541,0.27124617,0.259042583,0.372643159
0,16.479,2,3,0.315745603,0.289416388,0.289416388,0.289416388,0.285350935,0.260621311,0.353664557
0,16.479,2,2,0.308824012,0.289313627,0.289313627,0.289313627,0.293105971,0.262682536,0.380078355
0,16.479,2,1,0.297353217,0.276962859,0.276962859,0.276962859,0.280817299,0.254680024,0.363567898
0,16.479,2,0,0.32253945,0.30250877,0.30250877,0.30250877,0.302937065,0.258605379,0.344080133
0,8.505,2,4,0.277905865,0.256914061,0.256914061,0.256914061,0.25723825,0.233054077,0.268027993
0,8.505,2,3,0.268877053,0.24972746,0.24972746,0.24972746,0.249393167,0.236356523,0.283118925
0,8.505,2,2,0.256755783,0.243039667,0.243039667,0.243039667,0.248243649,0.239398927,0.275520895
0,8.505,2,1,0.267755033,0.250745111,0.250745111,0.250745111,0.261941187,0.243631594,0.284421075
0,8.505,2,0,0.265710204,0.245790353,0.245790353,0.245790353,0.250374941,0.238886146,0.289281644
0,2.725,2,4,0.241046238,0.226015177,0.226015177,0.226015177,0.228389819,0.217178207,0.222767994
0,2.725,2,3,0.227342702,0.216059003,0.216059003,0.216059003,0.220615926,0.218364544,0.228835441
