,SSRD,CloudCover,Temp,WindSpeed,WindDirection
2019-01-08 00:00:00,0,100,7.054,6.036520935,73.77168681
2019-01-08 00:30:00,0,100,7.236,5.913047679,80.62860069
2019-01-08 01:00:00,0,100,7.418,5.789574423,87.48551456
2019-01-08 01:30:00,0,98.5765,7.7405,6.120386768,101.3241743
2019-01-08 02:00:00,0,97.153,8.063,6.451199113,115.1628341
2019-01-08 02:30:00,0,94.5495,7.815,6.669281053,119.7656271
2019-01-08 03:00:00,0,91.946,7.567,6.887362993,124.3684201
2019-01-08 03:30:00,0,80.508,6.9845,6.695817487,119.5782404
2019-01-08 04:00:00,0,69.07,6.402,6.504271981,114.7880607
2019-01-08 04:30:00,0,84.535,6.0155,6.387937004,114.3196191
2019-01-08 05:00:00,0,100,5.629,6.271602028,113.8511775
2019-01-08 05:30:00,0,100,5.355,6.119098728,116.301326
2019-01-08 06:00:00,0,100,5.081,5.966595428,118.7514744
2019-01-08 06:30:00,-0.007,100,4.804,5.569651325,116.5582964
2019-01-08 07:00:00,-0.014,100,4.527,5.172707222,114.3651184
2019-01-08 07:30:00,0.071,100,4.312,5.005027318,111.7333949
2019-01-08 08:00:00,0.156,100,4.097,4.837347414,109.1016714
2019-01-08 08:30:00,7.202,100,4.0035,4.788376747,106.4912575
2019-01-08 09:00:00,14.248,100,3.91,4.739406081,103.8808436
2019-01-08 09:30:00,26.4705,100,4.048,4.90877989,103.4153196
2019-01-08 10:00:00,38.693,100,4.186,5.0781537,102.9497957
2019-01-08 10:30:00,54.379,93.447,4.421,5.279623739,104.7319042
2019-01-08 11:00:00,70.065,86.894,4.656,5.481093778,106.5140128
2019-01-08 11:30:00,121.282,72.206,5.086,5.873625646,108.353631
2019-01-08 12:00:00,172.499,57.518,5.516,6.266157515,110.1932492
2019-01-08 12:30:00,181.866,46.231,5.8115,6.58908241,114.0075528
2019-01-08 13:00:00,191.233,34.944,6.107,6.912007306,117.8218564
2019-01-08 13:30:00,187.422,24.008,6.2615,6.770833965,119.8641511
2019-01-08 14:00:00,183.611,13.072,6.416,6.629660625,121.9064459
2019-01-08 14:30:00,148.849,7.8545,6.326,6.469656774,124.7314287
2019-01-08 15:00:00,114.087,2.637,6.236,6.309652922,127.5564116
2019-01-08 15:30:00,68.4355,1.3185,5.8055,6.149534878,130.6084787
2019-01-08 16:00:00,22.784,0,5.375,5.989416833,133.6605459
2019-01-08 16:30:00,11.392,0,4.9245,5.79369618,133.577507
2019-01-08 17:00:00,0,0,4.474,5.597975527,133.4944681
2019-01-08 17:30:00,0,1.1965,4.081,5.44965716,129.1963175
2019-01-08 18:00:00,0,2.393,3.688,5.301338793,124.8981668
2019-01-08 18:30:00,0,1.1965,3.422,5.309780197,123.4603399
2019-01-08 19:00:00,0,0,3.156,5.318221601,122.022513
2019-01-08 19:30:00,0,0,3.023,5.523190278,122.7397741
2019-01-08 20:00:00,0,0,2.89,5.728158954,123.4570351
2019-01-08 20:30:00,0,0,2.6535,5.697612122,121.0874056
2019-01-08 21:00:00,0,0,2.417,5.66706529,118.7177762
2019-01-08 21:30:00,0,20.0975,2.433,5.830716532,121.2092238
2019-01-08 22:00:00,0,40.195,2.449,5.994367773,123.7006715
2019-01-08 22:30:00,0,27.5975,2.4425,6.035785744,124.2196767
2019-01-08 23:00:00,0,15,2.436,6.077203716,124.7386818
2019-01-08 23:30:00,0,9.815,2.771,6.505563712,126.4430811
2019-01-09 00:00:00,0,4.63,3.106,6.933923709,128.1474804
2019-01-09 00:30:00,0,15.33,2.9285,7.137864877,128.2720149
2019-01-09 01:00:00,0,26.03,2.751,7.341806045,128.3965493
2019-01-09 01:30:00,0,27.4535,2.737,7.635751065,128.2257543
2019-01-09 02:00:00,0,28.877,2.723,7.929696085,128.0549592
2019-01-09 02:30:00,0,31.476,2.707,8.0971605,126.4243831
2019-01-09 03:00:00,0,34.075,2.691,8.264624916,124.793807
2019-01-09 03:30:00,0,57.6045,2.689,8.577982374,124.5761594
2019-01-09 04:00:00,0,81.134,2.687,8.891339832,124.3585118
2019-01-09 04:30:00,0,55.141,2.851,8.93501107,125.8413818
2019-01-09 05:00:00,0,29.148,3.015,8.978682309,127.3242519
2019-01-09 05:30:00,0,53.8075,3.0725,8.645125346,130.7307218
2019-01-09 06:00:00,0,78.467,3.13,8.311568384,134.1371917
2019-01-09 06:30:00,0.0035,83.516,3.291,8.176811952,135.5133538
2019-01-09 07:00:00,0.007,88.565,3.452,8.042055521,136.8895159
2019-01-09 07:30:00,0.004,94.2825,3.524,7.868954637,137.7068185
2019-01-09 08:00:00,0.001,100,3.596,7.695853754,138.524121
2019-01-09 08:30:00,3.1045,95.886,3.638,7.383307832,138.8897815
2019-01-09 09:00:00,6.208,91.772,3.68,7.070761911,139.255442
2019-01-09 09:30:00,65.0205,91.325,3.9015,7.033141846,139.2115855
2019-01-09 10:00:00,123.833,90.878,4.123,6.995521782,139.167729
2019-01-09 10:30:00,105.43,95.439,4.2145,6.944596251,138.0125962
2019-01-09 11:00:00,87.027,100,4.306,6.89367072,136.8574634
2019-01-09 11:30:00,118.0045,100,4.438,6.853677006,135.9525157
2019-01-09 12:00:00,148.982,100,4.57,6.813683292,135.0475681
2019-01-09 12:30:00,102.939,94.7205,4.641,6.615457703,137.8885036
2019-01-09 13:00:00,56.896,89.441,4.712,6.417232114,140.7294392
2019-01-09 13:30:00,100.1185,94.7205,5.0885,6.353229229,147.9949652
2019-01-09 14:00:00,143.341,100,5.465,6.289226344,155.2604911
2019-01-09 14:30:00,114.783,100,5.461,6.386421965,160.413868
2019-01-09 15:00:00,86.225,100,5.457,6.483617586,165.5672449
2019-01-09 15:30:00,50.2135,100,5.075,6.17281792,163.9092386
2019-01-09 16:00:00,14.202,100,4.693,5.862018253,162.2512324
2019-01-09 16:30:00,7.101,100,4.3335,5.658631947,161.152458
2019-01-09 17:00:00,0,100,3.974,5.455245641,160.0536837
2019-01-09 17:30:00,0,100,3.741,5.291863887,161.0725737
2019-01-09 18:00:00,0,100,3.508,5.128482134,162.0914636
2019-01-09 18:30:00,0,94.6025,3.335,5.101137793,163.4825496
2019-01-09 19:00:00,0,89.205,3.162,5.073793453,164.8736356
2019-01-09 19:30:00,0,89.5185,2.9285,4.938120685,165.4172493
2019-01-09 20:00:00,0,89.832,2.695,4.802447917,165.960863
2019-01-09 20:30:00,0,94.913,2.4335,4.707778803,165.2226974
2019-01-09 21:00:00,0,99.994,2.172,4.613109689,164.4845319
2019-01-09 21:30:00,0,99.997,2.05,4.571996799,166.6555
2019-01-09 22:00:00,0,100,1.928,4.530883909,168.8264681
2019-01-09 22:30:00,0,100,1.8335,4.291607113,171.6873709
2019-01-09 23:00:00,0,100,1.739,4.052330317,174.5482737
2019-01-09 23:30:00,0,100,1.2185,3.814478959,173.9103277
2019-01-10 00:00:00,0,100,0.698,3.576627602,173.2723817
2019-01-10 00:30:00,0,100,0.487,3.321586934,172.9357919
2019-01-10 01:00:00,0,100,0.276,3.066546266,172.5992022
2019-01-10 01:30:00,0,100,0.113,2.943261519,171.9141621
2019-01-10 02:00:00,0,100,-0.05,2.819976773,171.229122
2019-01-10 02:30:00,0,87.9785,-0.1415,2.957479016,163.6737292
2019-01-10 03:00:00,0,75.957,-0.233,3.09498126,156.1183363
2019-01-10 03:30:00,0,77.818,-0.351,3.204497646,155.3256374
2019-01-10 04:00:00,0,79.679,-0.469,3.314014031,154.5329384
2019-01-10 04:30:00,0.06,78.644,-0.388,3.318543654,159.445346
2019-01-10 05:00:00,0.12,77.609,-0.307,3.323073276,164.3577535
2019-01-10 05:30:00,0,81.4145,-0.3095,3.199798076,165.4882356
2019-01-10 06:00:00,-0.12,85.22,-0.312,3.076522875,166.6187176
2019-01-10 06:30:00,-0.0235,82.219,-0.27,3.048609824,165.3548988
2019-01-10 07:00:00,0.073,79.218,-0.228,3.020696774,164.09108
2019-01-10 07:30:00,0.168,71.588,-0.188,2.951619527,164.9671577
2019-01-10 08:00:00,0.263,63.958,-0.148,2.882542281,165.8432355
2019-01-10 08:30:00,13.9645,72.8775,0.0015,2.780448966,166.7778701
2019-01-10 09:00:00,27.666,81.797,0.151,2.678355652,167.7125046
2019-01-10 09:30:00,52.0645,73.47,0.518,2.560364953,166.6731297
2019-01-10 10:00:00,76.463,65.143,0.885,2.442374255,165.6337547
2019-01-10 10:30:00,101.632,61.0815,1.313,2.468928387,161.1678384
2019-01-10 11:00:00,126.801,57.02,1.741,2.495482518,156.701922
2019-01-10 11:30:00,147.1785,53.6405,2.193,2.53223435,158.2517488
2019-01-10 12:00:00,167.556,50.261,2.645,2.568986181,159.8015756
2019-01-10 12:30:00,167.3815,63.093,2.9755,2.676845058,161.2949655
2019-01-10 13:00:00,167.207,75.925,3.306,2.784703934,162.7883553
2019-01-10 13:30:00,135.6845,71.492,3.378,2.804907187,164.5555948
2019-01-10 14:00:00,104.162,67.059,3.45,2.82511044,166.3228342
2019-01-10 14:30:00,79.6785,60.0845,3.279,2.642841061,163.8960797
2019-01-10 15:00:00,55.195,53.11,3.108,2.460571682,161.4693251
2019-01-10 15:30:00,33.9945,53.3595,2.6535,2.166266743,154.6622169
2019-01-10 16:00:00,12.794,53.609,2.199,1.871961805,147.8551087
2019-01-10 16:30:00,6.397,56.7475,1.816,1.643545211,135.121229
2019-01-10 17:00:00,0,59.886,1.433,1.415128616,122.3873494
2019-01-10 17:30:00,0,64.881,1.171,1.359477838,114.1392097
2019-01-10 18:00:00,0,69.876,0.909,1.303827059,105.89107
2019-01-10 18:30:00,0,81.5375,0.7695,1.306457073,109.886784
2019-01-10 19:00:00,0,93.199,0.63,1.309087086,113.882498
2019-01-10 19:30:00,0,88.583,0.7215,1.459274865,109.8185929
2019-01-10 20:00:00,0,83.967,0.813,1.609462643,105.7546878
2019-01-10 20:30:00,0,83.508,0.809,1.583271622,102.1245318
2019-01-10 21:00:00,0,83.049,0.805,1.557080602,98.49437579
2019-01-10 21:30:00,0,81.444,0.785,1.358437274,84.18599349
2019-01-10 22:00:00,0,79.839,0.765,1.159793947,69.87761119
2019-01-10 22:30:00,0,82.9145,0.688,1.157040153,60.51587658
2019-01-10 23:00:00,0,85.99,0.611,1.15428636,51.15414197
2019-01-10 23:30:00,0,92.995,0.8805,1.669618466,50.70450295
2019-01-11 00:00:00,0,100,1.15,2.184950572,50.25486393
2019-01-11 00:30:00,0,100,1.1675,2.333723448,47.02354882
2019-01-11 01:00:00,0,100,1.185,2.482496324,43.79223371
2019-01-11 01:30:00,0,99.985,1.1685,2.332342223,52.38029079
2019-01-11 02:00:00,0,99.97,1.152,2.182188122,60.96834787
2019-01-11 02:30:00,0,99.847,1.17,2.118296086,65.87863609
2019-01-11 03:00:00,0,99.724,1.188,2.05440405,70.7889243
2019-01-11 03:30:00,0,99.8605,1.1865,2.108937321,75.99419895
2019-01-11 04:00:00,0,99.997,1.185,2.163470591,81.19947361
2019-01-11 04:30:00,0,99.9985,1.28,2.207849522,72.10673607
2019-01-11 05:00:00,0,100,1.375,2.252228452,63.01399853
2019-01-11 05:30:00,0.065,100,1.513,2.459061431,60.24915009
2019-01-11 06:00:00,0.13,100,1.651,2.665894409,57.48430166
2019-01-11 06:30:00,0.037,100,1.7545,3.031745971,58.12289794
2019-01-11 07:00:00,-0.056,100,1.858,3.397597534,58.76149422
2019-01-11 07:30:00,0.015,100,1.9375,3.188877037,62.48734638
2019-01-11 08:00:00,0.086,100,2.017,2.98015654,66.21319853
2019-01-11 08:30:00,0.7695,100,2.0765,3.037445065,74.95285959
2019-01-11 09:00:00,1.453,100,2.136,3.094733591,83.69252066
2019-01-11 09:30:00,10.44,100,2.2355,2.951969675,97.80945706
2019-01-11 10:00:00,19.427,100,2.335,2.80920576,111.9263935
2019-01-11 10:30:00,27.961,100,2.6375,2.869376582,120.4427686
2019-01-11 11:00:00,36.495,100,2.94,2.929547405,128.9591438
2019-01-11 11:30:00,42.3015,99.9515,3.4115,3.146836796,129.5862497
2019-01-11 12:00:00,48.108,99.903,3.883,3.364126187,130.2133556
2019-01-11 12:30:00,54.458,99.586,4.4665,3.795060135,132.251953
2019-01-11 13:00:00,60.808,99.269,5.05,4.225994084,134.2905504
2019-01-11 13:30:00,62.2985,99.6195,5.27,4.338266127,134.6998945
2019-01-11 14:00:00,63.789,99.97,5.49,4.45053817,135.1092387
2019-01-11 14:30:00,39.471,99.985,5.36,4.484192833,132.6124763
2019-01-11 15:00:00,15.153,100,5.23,4.517847496,130.1157138
2019-01-11 15:30:00,8.4455,99.974,5.013,4.436379259,129.34153
2019-01-11 16:00:00,1.738,99.948,4.796,4.354911021,128.5673461
2019-01-11 16:30:00,0.869,99.974,4.6225,4.265896137,126.4520971
2019-01-11 17:00:00,0,100,4.449,4.176881253,124.3368481
2019-01-11 17:30:00,0,100,4.31,4.347942009,122.7242322
2019-01-11 18:00:00,0,100,4.171,4.519002766,121.1116163
2019-01-11 18:30:00,0,100,4.0515,4.515241284,119.5341545
2019-01-11 19:00:00,0,100,3.932,4.511479802,117.9566928
2019-01-11 19:30:00,0,100,3.8735,4.361521525,117.8997524
2019-01-11 20:00:00,0,100,3.815,4.211563249,117.8428121
2019-01-11 20:30:00,0,100,3.8335,4.046467199,117.2468424
2019-01-11 21:00:00,0,100,3.852,3.881371149,116.6508727
2019-01-11 21:30:00,0,100,3.9005,3.79723513,116.2249547
2019-01-11 22:00:00,0,100,3.949,3.71309911,115.7990367
2019-01-11 22:30:00,0,100,3.975,3.594808454,116.7864645
2019-01-11 23:00:00,0,100,4.001,3.476517798,117.7738923
2019-01-11 23:30:00,0,100,3.83,3.269088249,110.6395441
2019-01-12 00:00:00,0,100,3.659,3.061658701,103.5051958
2019-01-12 00:30:00,0,100,3.5855,2.86006146,98.41304764
2019-01-12 01:00:00,0,100,3.512,2.658464218,93.32089944
2019-01-12 01:30:00,0,100,3.5305,2.976830437,91.97343394
2019-01-12 02:00:00,0,100,3.549,3.295196656,90.62596844
2019-01-12 02:30:00,0,100,3.552,3.637112465,90.42098027
2019-01-12 03:00:00,0,100,3.555,3.979028273,90.21599211
2019-01-12 03:30:00,0,100,3.5175,4.263520348,88.90453482
2019-01-12 04:00:00,0,100,3.48,4.548012423,87.59307753
2019-01-12 04:30:00,-0.007,100,3.435,4.464495255,82.78889439
2019-01-12 05:00:00,-0.014,100,3.39,4.380978087,77.98471124
2019-01-12 05:30:00,0,100,3.472,4.416450016,78.83590347
2019-01-12 06:00:00,0.014,100,3.554,4.451921945,79.6870957
2019-01-12 06:30:00,0.007,99.9985,3.6585,4.438515265,78.43940615
2019-01-12 07:00:00,0,99.997,3.763,4.425108586,77.1917166
2019-01-12 07:30:00,0.011,70.414,3.823,4.37140196,65.59485479
2019-01-12 08:00:00,0.022,40.831,3.883,4.317695334,53.99799297
2019-01-12 08:30:00,17.6535,64.199,3.666,4.556549588,53.03949846
2019-01-12 09:00:00,35.285,87.567,3.449,4.795403841,52.08100394
2019-01-12 09:30:00,46.877,93.7835,3.6915,5.309175302,51.75823543
2019-01-12 10:00:00,58.469,100,3.934,5.822946763,51.43546693
2019-01-12 10:30:00,50.37,99.294,4.191,6.189051946,53.50421165
2019-01-12 11:00:00,42.271,98.588,4.448,6.55515713,55.57295637
2019-01-12 11:30:00,39.189,99.294,4.777,6.856902314,58.58568683
2019-01-12 12:00:00,36.107,100,5.106,7.158647498,61.5984173
2019-01-12 12:30:00,46.062,100,5.4305,7.174752131,63.09220082
2019-01-12 13:00:00,56.017,100,5.755,7.190856764,64.58598435
2019-01-12 13:30:00,30.0225,100,5.844,6.96089722,66.2950745
2019-01-12 14:00:00,4.028,100,5.933,6.730937676,68.00416466
2019-01-12 14:30:00,2.4405,100,6.01,6.789829691,69.0795023
2019-01-12 15:00:00,0.853,100,6.087,6.848721706,70.15483994
2019-01-12 15:30:00,0.4345,100,6.174,6.357172516,71.57201789
2019-01-12 16:00:00,0.016,100,6.261,5.865623326,72.98919584
2019-01-12 16:30:00,0.008,100,6.2955,5.419235651,73.94131202
2019-01-12 17:00:00,0,100,6.33,4.972847977,74.8934282
2019-01-12 17:30:00,0,100,6.448,5.235656836,85.9672166
2019-01-12 18:00:00,0,100,6.566,5.498465695,97.041005
2019-01-12 18:30:00,0,100,6.4825,5.511247511,96.60698356
2019-01-12 19:00:00,0,100,6.399,5.524029326,96.17296213
2019-01-12 19:30:00,0,100,6.2305,5.515162725,93.91383354
2019-01-12 20:00:00,0,100,6.062,5.506296124,91.65470495
2019-01-12 20:30:00,0,100,6.0345,5.598164977,93.62102892
2019-01-12 21:00:00,0,100,6.007,5.690033831,95.5873529
2019-01-12 21:30:00,0,100,6.027,5.655686809,90.67679669
2019-01-12 22:00:00,0,100,6.047,5.621339787,85.76624049
2019-01-12 22:30:00,0,100,6.0755,5.673738527,82.96607536
2019-01-12 23:00:00,0,100,6.104,5.726137267,80.16591022
2019-01-12 23:30:00,0,99.18104,6.13782,5.790746367,81.11316819
2019-01-13 00:00:00,,,,,
2019-01-13 00:30:00,,,,,
2019-01-13 01:00:00,,,,,
2019-01-13 01:30:00,,,,,
2019-01-13 02:00:00,,,,,
2019-01-13 02:30:00,,,,,
2019-01-13 03:00:00,,,,,
2019-01-13 03:30:00,,,,,
2019-01-13 04:00:00,,,,,
2019-01-13 04:30:00,,,,,
2019-01-13 05:00:00,,,,,
2019-01-13 05:30:00,,,,,
2019-01-13 06:00:00,,,,,
