,SSRD,CloudCover,Temp,WindSpeed,WindDirection
2019-01-08 00:00:00,0,100,7.892,6.62035422,97.14111821
2019-01-08 00:30:00,0,99.952,7.983,6.714888001,105.5261736
2019-01-08 01:00:00,0,99.904,8.074,6.809421782,113.9112291
2019-01-08 01:30:00,0,96.2135,8.0255,7.005826898,117.8263358
2019-01-08 02:00:00,0,92.523,7.977,7.202232015,121.7414425
2019-01-08 02:30:00,0,77.4325,7.42,7.075028499,119.7876315
2019-01-08 03:00:00,0,62.342,6.863,6.947824983,117.8338206
2019-01-08 03:30:00,0,80.6215,6.381,6.803147389,115.0269416
2019-01-08 04:00:00,0,98.901,5.899,6.658469794,112.2200626
2019-01-08 04:30:00,0,99.4505,5.6195,6.734651208,116.4296024
2019-01-08 05:00:00,0,100,5.34,6.810832622,120.6391421
2019-01-08 05:30:00,-0.036,100,5.043,6.48604498,121.9324761
2019-01-08 06:00:00,-0.072,100,4.746,6.161257339,123.2258101
2019-01-08 06:30:00,-0.036,100,4.5595,5.883868269,122.1692706
2019-01-08 07:00:00,0,100,4.373,5.606479198,121.1127312
2019-01-08 07:30:00,0.051,100,4.201,5.46822337,119.6827173
2019-01-08 08:00:00,0.102,100,4.029,5.329967542,118.2527035
2019-01-08 08:30:00,4.8995,100,3.9785,5.220693457,116.9476631
2019-01-08 09:00:00,9.697,100,3.928,5.111419372,115.6426227
2019-01-08 09:30:00,19.04,100,4.0045,5.100363739,114.4464761
2019-01-08 10:00:00,28.383,100,4.081,5.089308106,113.2503295
2019-01-08 10:30:00,45.785,86.889,4.269,5.215450938,112.8047304
2019-01-08 11:00:00,63.187,73.778,4.457,5.34159377,112.3591313
2019-01-08 11:30:00,117.19,73.2825,4.897,5.750159197,113.6652503
2019-01-08 12:00:00,171.193,72.787,5.337,6.158724624,114.9713694
2019-01-08 12:30:00,172.5235,56.896,5.6585,6.60809275,120.3790993
2019-01-08 13:00:00,173.854,41.005,5.98,7.057460875,125.7868293
2019-01-08 13:30:00,177.0325,25.0675,6.179,7.142926129,130.1131664
2019-01-08 14:00:00,180.211,9.13,6.378,7.228391384,134.4395035
2019-01-08 14:30:00,146.9475,4.565,6.2735,7.392587546,136.9684477
2019-01-08 15:00:00,113.684,0,6.169,7.556783707,139.4973918
2019-01-08 15:30:00,67.517,0.9185,5.751,7.556479002,140.4833313
2019-01-08 16:00:00,21.35,1.837,5.333,7.556174297,141.4692707
2019-01-08 16:30:00,10.675,0.99,4.9365,7.196666532,139.8413138
