,SSRD,CloudCover,Temp,WindSpeed,WindDirection
2019-01-08 00:00:00,0,63.907,1.163,9.609736729,141.150237
2019-01-08 00:30:00,0,48.341,1.389,9.682769476,141.0392995
2019-01-08 01:00:00,0,32.775,1.615,9.755802222,140.9283619
2019-01-08 01:30:00,0,29.5695,1.602,9.676605572,140.7207674
2019-01-08 02:00:00,0,26.364,1.589,9.597408921,140.5131729
2019-01-08 02:30:00,0,35.2575,1.6555,9.028201357,138.7242467
2019-01-08 03:00:00,0,44.151,1.722,8.458993794,136.9353204
2019-01-08 03:30:00,0,44.617,1.8025,8.287006293,138.8582276
2019-01-08 04:00:00,0,45.083,1.883,8.115018792,140.7811348
2019-01-08 04:30:00,0,52.5205,1.8965,8.098496466,140.6670529
2019-01-08 05:00:00,0,59.958,1.91,8.08197414,140.552971
2019-01-08 05:30:00,0.0365,55.11,1.8605,8.316091747,138.4967968
2019-01-08 06:00:00,0.073,50.262,1.811,8.550209354,136.4406226
2019-01-08 06:30:00,0.037,57.1255,1.654,8.401955777,136.5156089
2019-01-08 07:00:00,0.001,63.989,1.497,8.2537022,136.5905951
2019-01-08 07:30:00,2.128,50.567,1.454,7.96903069,137.1032819
2019-01-08 08:00:00,4.255,37.145,1.411,7.68435918,137.6159688
2019-01-08 08:30:00,53.4405,33.8835,1.6715,7.597048762,138.3273462
2019-01-08 09:00:00,102.626,30.622,1.932,7.509738344,139.0387236
2019-01-08 09:30:00,164.6115,40.663,2.4735,7.668611627,137.5266259
2019-01-08 10:00:00,226.597,50.704,3.015,7.827484909,136.0145283
2019-01-08 10:30:00,270.3005,51.635,3.4805,7.590802761,133.9032921
2019-01-08 11:00:00,314.004,52.566,3.946,7.354120614,131.7920559
2019-01-08 11:30:00,332.121,69.9415,4.295,6.853451734,129.1136166
2019-01-08 12:00:00,350.238,87.317,4.644,6.352782855,126.4351774
2019-01-08 12:30:00,325.813,93.5805,4.7185,6.278442725,125.838812
2019-01-08 13:00:00,301.388,99.844,4.793,6.204102594,125.2424465
2019-01-08 13:30:00,238.2205,99.918,4.459,6.920623314,129.3864149
2019-01-08 14:00:00,175.053,99.992,4.125,7.637144034,133.5303834
2019-01-08 14:30:00,127.237,99.996,3.922,8.936417267,136.3807576
2019-01-08 15:00:00,79.421,100,3.719,10.2356905,139.2311317
2019-01-08 15:30:00,50.77,100,3.63,10.58579628,138.0196627
2019-01-08 16:00:00,22.119,100,3.541,10.93590207,136.8081936
2019-01-08 16:30:00,11.4105,100,3.667,10.26555265,133.915889
2019-01-08 17:00:00,0.702,100,3.793,9.595203229,131.0235844
2019-01-08 17:30:00,0.351,100,3.9375,8.758872023,130.4386528
2019-01-08 18:00:00,0,100,4.082,7.922540817,129.8537211
2019-01-08 18:30:00,0,91.178,4.152,7.632898828,131.4584071
