,latitude,longitude,count
0,46.0,-0.2,102240
1,46.0,-0.1,102240
2,46.0,0.0,102240
3,46.0,0.1,102240
4,46.0,0.2,102240
5,46.0,0.3,102240
6,46.0,0.4,102240
7,46.0,0.5,102240
8,46.0,0.6,102240
9,46.0,0.7,102240
10,46.0,0.8,102240
11,46.0,0.9,102240
12,46.1,-0.2,102240
13,46.1,-0.1,102240
14,46.1,0.0,102240
15,46.1,0.1,102240
16,46.1,0.2,102240
17,46.1,0.3,102240
18,46.1,0.4,102240
19,46.1,0.5,102240
20,46.1,0.6,102240
21,46.1,0.7,102240
22,46.1,0.8,102240
23,46.1,0.9,102240
24,46.2,-0.2,102240
25,46.2,-0.1,102240
26,46.2,0.0,102240
27,46.2,0.1,102240
28,46.2,0.2,102240
29,46.2,0.3,102240
30,46.2,0.4,102240
31,46.2,0.5,102240
32,46.2,0.6,102240
33,46.2,0.7,102240
34,46.2,0.8,102240
35,46.2,0.9,102240
36,46.3,-0.2,102240
37,46.3,-0.1,102240
38,46.3,0.0,102240
39,46.3,0.1,102240
40,46.3,0.2,102240
41,46.3,0.3,102240
42,46.3,0.4,102240
43,46.3,0.5,102240
44,46.3,0.6,102240
45,46.3,0.7,102240
46,46.3,0.8,102240
47,46.3,0.9,102240
48,46.4,-0.2,102240
49,46.4,-0.1,102240
50,46.4,0.0,102240
51,46.4,0.1,102240
52,46.4,0.2,102240
53,46.4,0.3,102240
54,46.4,0.4,102240
55,46.4,0.5,102240
56,46.4,0.6,102240
57,46.4,0.7,102240
58,46.4,0.8,102240
59,46.4,0.9,102240
60,46.5,-0.2,102240
61,46.5,-0.1,102240
62,46.5,0.0,102240
63,46.5,0.1,102240
64,46.5,0.2,102240
65,46.5,0.3,102240
66,46.5,0.4,102240
67,46.5,0.5,102240
68,46.5,0.6,102240
69,46.5,0.7,102240
70,46.5,0.8,102240
71,46.5,0.9,102240
72,46.6,-0.2,102240
73,46.6,-0.1,102240
74,46.6,0.0,102240
75,46.6,0.1,102240
76,46.6,0.2,102240
77,46.6,0.3,102240
78,46.6,0.4,102240
79,46.6,0.5,102240
80,46.6,0.6,102240
81,46.6,0.7,102240
82,46.6,0.8,102240
83,46.6,0.9,102240
84,46.7,-0.2,102240
85,46.7,-0.1,102240
86,46.7,0.0,102240
87,46.7,0.1,102240
88,46.7,0.2,102240
89,46.7,0.3,102240
90,46.7,0.4,102240
91,46.7,0.5,102240
92,46.7,0.6,102240
93,46.7,0.7,102240
94,46.7,0.8,102240
95,46.7,0.9,102240
96,46.8,-0.2,102240
97,46.8,-0.1,102240
98,46.8,0.0,102240
99,46.8,0.1,102240
100,46.8,0.2,102240
101,46.8,0.3,102240
102,46.8,0.4,102240
103,46.8,0.5,102240
104,46.8,0.6,102240
105,46.8,0.7,102240
106,46.8,0.8,102240
107,46.8,0.9,102240
