,SSRD,CloudCover,Temp,WindSpeed,WindDirection
2019-01-08 00:00:00,0,88.75,-0.903,8.012331621,145.3717818
2019-01-08 00:30:00,0,83.9875,-0.784,7.996940234,145.1290137
2019-01-08 01:00:00,0,79.225,-0.665,7.981548847,144.8862455
2019-01-08 01:30:00,0,81.4875,-0.6775,7.907923961,144.1522496
2019-01-08 02:00:00,0,83.75,-0.69,7.834299075,143.4182536
2019-01-08 02:30:00,0,88.0375,-0.676,7.935303902,142.5033737
2019-01-08 03:00:00,0,92.325,-0.662,8.03630873,141.5884938
2019-01-08 03:30:00,0,91.3375,-0.67,8.311159286,142.3159225
2019-01-08 04:00:00,0,90.35,-0.678,8.586009842,143.0433513
2019-01-08 04:30:00,0,90.4625,-0.747,8.704552552,143.219851
2019-01-08 05:00:00,0,90.575,-0.816,8.823095262,143.3963508
2019-01-08 05:30:00,0.064,83.9,-0.924,8.692765799,141.9324723
2019-01-08 06:00:00,0.128,77.225,-1.032,8.562436336,140.4685939
2019-01-08 06:30:00,0.032,80.6875,-1.0965,8.518283337,140.1683279
2019-01-08 07:00:00,-0.064,84.15,-1.161,8.474130339,139.8680619
2019-01-08 07:30:00,1.4505,83.3625,-1.188,8.491997836,139.4829449
2019-01-08 08:00:00,2.965,82.575,-1.215,8.509865334,139.0978279
2019-01-08 08:30:00,32.5865,84.2,-0.963,8.284407198,140.3389259
2019-01-08 09:00:00,62.208,85.825,-0.711,8.058949063,141.5800238
2019-01-08 09:30:00,91.8505,86.925,-0.4155,8.005778626,141.0375883
2019-01-08 10:00:00,121.493,88.025,-0.12,7.952608189,140.4951527
2019-01-08 10:30:00,145.2045,93.0125,0.1245,7.953521746,140.1723291
2019-01-08 11:00:00,168.916,98,0.369,7.954435304,139.8495056
2019-01-08 11:30:00,173.155,98.9375,0.5985,8.473377263,139.5826394
2019-01-08 12:00:00,177.394,99.875,0.828,8.992319223,139.3157732
2019-01-08 12:30:00,172.0605,99.9375,0.8805,9.37808797,140.0883277
2019-01-08 13:00:00,166.727,100,0.933,9.763856718,140.8608822
2019-01-08 13:30:00,139.2285,100,0.8805,10.08502748,141.3804329
2019-01-08 14:00:00,111.73,100,0.828,10.40619825,141.8999835
2019-01-08 14:30:00,97.067,99.8875,0.9085,10.10820384,142.475328
2019-01-08 15:00:00,82.404,99.775,0.989,9.810209427,143.0506726
2019-01-08 15:30:00,55.332,99.8875,0.9575,8.798728893,142.4332925
2019-01-08 16:00:00,28.26,100,0.926,7.787248359,141.8159124
2019-01-08 16:30:00,14.2865,100,0.9855,7.436285079,141.1884335
2019-01-08 17:00:00,0.313,100,1.045,7.085321799,140.5609545
