,DA Price,Net Load Forecast,System Margin,Day,Hour,Month,DA Price_24,DA Price_144,DA Price_168
2017-01-01 00:00:00,58.23,72605.0,1.0591179050604698,6,0,1,0.0,0.0,0.0
2017-01-01 01:00:00,51.95,71295.0,1.073824507242935,6,1,1,0.0,0.0,0.0
2017-01-01 02:00:00,47.27,67685.0,1.0510303919770072,6,2,1,0.0,0.0,0.0
2017-01-01 03:00:00,45.49,64824.0,1.0208033210960856,6,3,1,0.0,0.0,0.0
2017-01-01 04:00:00,44.5,63776.0,1.0069401412814476,6,4,1,0.0,0.0,0.0
2017-01-01 05:00:00,44.5,63879.0,1.0085787155112451,6,5,1,0.0,0.0,0.0
2017-01-01 06:00:00,44.72,64321.0,1.0091446517642713,6,6,1,0.0,0.0,0.0
2017-01-01 07:00:00,44.22,64695.0,1.017893991191598,6,7,1,0.0,0.0,0.0
2017-01-01 08:00:00,42.06,65047.0,1.0186796080944969,6,8,1,0.0,0.0,0.0
2017-01-01 09:00:00,45.7,66261.0,1.0357390178544545,6,9,1,0.0,0.0,0.0
2017-01-01 10:00:00,47.91,66595.0,1.037270667673582,6,10,1,0.0,0.0,0.0
2017-01-01 11:00:00,49.57,66960.0,1.043839802544589,6,11,1,0.0,0.0,0.0
2017-01-01 12:00:00,48.69,66746.0,1.043746330005872,6,12,1,0.0,0.0,0.0
2017-01-01 13:00:00,46.91,63780.0,1.0285410657355396,6,13,1,0.0,0.0,0.0
2017-01-01 14:00:00,46.51,61991.0,1.0099445459896528,6,14,1,0.0,0.0,0.0
2017-01-01 15:00:00,46.52,62399.0,0.9942635682758408,6,15,1,0.0,0.0,0.0
2017-01-01 16:00:00,51.59,65434.0,1.0061130922058075,6,16,1,0.0,0.0,0.0
2017-01-01 17:00:00,59.07,68847.0,1.0191543187567762,6,17,1,0.0,0.0,0.0
2017-01-01 18:00:00,62.1,71631.0,1.039980691143482,6,18,1,0.0,0.0,0.0
2017-01-01 19:00:00,56.26,71013.0,1.0495727978488094,6,19,1,0.0,0.0,0.0
2017-01-01 20:00:00,55.0,68994.0,1.027018371327918,6,20,1,0.0,0.0,0.0
2017-01-01 21:00:00,56.02,68426.0,1.0152394775036284,6,21,1,0.0,0.0,0.0
2017-01-01 22:00:00,52.0,71303.0,1.0526620621751155,6,22,1,0.0,0.0,0.0
2017-01-01 23:00:00,54.99,69990.0,1.0504913588614029,6,23,1,0.0,0.0,0.0
2017-01-02 00:00:00,50.18,67346.0,1.0297740656171133,0,0,1,58.22999999999999,0.0,0.0
2017-01-02 01:00:00,49.11,66490.0,1.0248324793062673,0,1,1,51.95000000000001,0.0,0.0
2017-01-02 02:00:00,45.78,64087.0,0.9887906680032807,0,2,1,47.27000000000001,0.0,0.0
2017-01-02 03:00:00,44.99,63230.0,0.9771069105752974,0,3,1,45.490000000000016,0.0,0.0
2017-01-02 04:00:00,46.97,65094.0,0.9994089924078255,0,4,1,44.500000000000014,0.0,0.0
2017-01-02 05:00:00,52.0,68253.0,1.0234026470631827,0,5,1,44.50000000000001,0.0,0.0
2017-01-02 06:00:00,59.07,72636.0,1.038662100910783,0,6,1,44.72,0.0,0.0
2017-01-02 07:00:00,64.98,77054.0,1.0770148922291154,0,7,1,44.220000000000006,0.0,0.0
2017-01-02 08:00:00,65.02,78700.0,1.0865848821783668,0,8,1,42.06000000000001,0.0,0.0
2017-01-02 09:00:00,68.49,79523.0,1.0871024924795873,0,9,1,45.70000000000001,0.0,0.0
2017-01-02 10:00:00,65.99,79522.0,1.0876225490196079,0,10,1,47.910000000000004,0.0,0.0
2017-01-02 11:00:00,65.75,80118.0,1.0956888323258034,0,11,1,49.570000000000014,0.0,0.0
2017-01-02 12:00:00,64.98,79730.0,1.097678014449095,0,12,1,48.69000000000001,0.0,0.0
2017-01-02 13:00:00,61.19,77817.0,1.0867947000148876,0,13,1,46.91000000000001,0.0,0.0
2017-01-02 14:00:00,59.71,75003.0,1.0515534312051895,0,14,1,46.510000000000005,0.0,0.0
2017-01-02 15:00:00,60.96,74656.0,1.0339764245217604,0,15,1,46.52000000000002,0.0,0.0
2017-01-02 16:00:00,73.55,77248.0,1.0413207772715802,0,16,1,51.59000000000001,0.0,0.0
2017-01-02 17:00:00,77.42,82253.0,1.0571934708338606,0,17,1,59.070000000000014,0.0,0.0
2017-01-02 18:00:00,75.0,83829.0,1.0808550539160404,0,18,1,62.100000000000016,0.0,0.0
2017-01-02 19:00:00,70.11,80234.0,1.079155707696171,0,19,1,56.260000000000005,0.0,0.0
2017-01-02 20:00:00,61.21,76189.0,1.049178109991206,0,20,1,55.000000000000014,0.0,0.0
2017-01-02 21:00:00,60.1,74243.0,1.0239208511215017,0,21,1,56.02000000000002,0.0,0.0
2017-01-02 22:00:00,58.78,77238.0,1.0807908359951537,0,22,1,52.00000000000002,0.0,0.0
2017-01-02 23:00:00,54.68,73937.0,1.0506608545002376,0,23,1,54.990000000000016,0.0,0.0
2017-01-03 00:00:00,52.74,71667.0,1.036405798750907,1,0,1,50.180000000000014,0.0,0.0
2017-01-03 01:00:00,49.25,70975.0,1.0394141221924285,1,1,1,49.11000000000001,0.0,0.0
2017-01-03 02:00:00,45.0,68483.0,1.0151654478842813,1,2,1,45.780000000000015,0.0,0.0
2017-01-03 03:00:00,45.18,67338.0,1.0008199841860193,1,3,1,44.990000000000016,0.0,0.0
2017-01-03 04:00:00,49.25,68896.0,1.0110865386005232,1,4,1,46.97000000000001,0.0,0.0
2017-01-03 05:00:00,57.65,73598.0,1.0425680390788556,1,5,1,52.00000000000001,0.0,0.0
2017-01-03 06:00:00,70.51,80502.0,1.0802836654229844,1,6,1,59.07000000000001,0.0,0.0
2017-01-03 07:00:00,74.04,84741.0,1.1049830299290342,1,7,1,64.98000000000002,0.0,0.0
2017-01-03 08:00:00,75.32,85532.0,1.100883745663569,1,8,1,65.02000000000001,0.0,0.0
2017-01-03 09:00:00,74.65,85471.0,1.1023542868635066,1,9,1,68.49000000000001,0.0,0.0
2017-01-03 10:00:00,73.31,84445.0,1.097125681006951,1,10,1,65.99000000000001,0.0,0.0
2017-01-03 11:00:00,72.71,83583.0,1.100153656263382,1,11,1,65.75,0.0,0.0
2017-01-03 12:00:00,71.69,82624.0,1.107445203202128,1,12,1,64.98000000000002,0.0,0.0
2017-01-03 13:00:00,70.51,80812.0,1.098051948051948,1,13,1,61.190000000000005,0.0,0.0
