ZONEID,TIMESTAMP,TARGETVAR,U10,V10,U100,V100,,,,,,
3,20120101 1:00,0.42546509,2.193217363,-4.649167523,3.02843499,-6.221648225,,,,,,
3,20120101 2:00,0.363850866,2.970141414,-3.944314111,3.981102353,-5.254088533,,,,,,
3,20120101 3:00,0.297128685,3.238855317,-3.144486493,4.355829504,-4.163414463,,,,,,
3,20120101 4:00,0.235437948,3.260989905,-2.228815897,4.313941574,-2.915457708,,,,,,
3,20120101 5:00,0.120903569,2.940038374,-2.040145165,3.933553893,-2.689838407,,,,,,
3,20120101 6:00,0.071952576,2.576588433,-1.387676629,3.763737964,-2.050945292,,,,,,
3,20120101 7:00,0.090687468,1.90192618,-0.849347498,3.081077929,-1.343173208,,,,,,
3,20120101 8:00,0.073510891,0.976257695,-0.462636381,1.796137398,-0.945627662,,,,,,
3,20120101 9:00,0.035700364,0.097071846,-0.532482882,0.674220159,-0.874036922,,,,,,
3,20120101 10:00,0.105737231,-0.684279123,0.366151981,-0.856387416,0.391817518,,,,,,
3,20120101 11:00,0.149791369,-1.05923905,1.746472168,-2.389259203,1.996100909,,,,,,
3,20120101 12:00,0.138717969,-1.567006507,1.71836321,-3.259282814,1.401680829,,,,,,
3,20120101 13:00,0.125443029,-1.840147327,0.727735393,-2.643417044,-1.037285503,,,,,,
3,20120101 14:00,0.094499536,-1.882645736,-0.418343478,-1.090733398,-3.072198039,,,,,,
3,20120101 15:00,0.151380742,-1.824653115,-1.483928515,-0.342411204,-3.997996466,,,,,,
3,20120101 16:00,0.183847898,-1.664398695,-2.089548788,-0.814499487,-5.104398805,,,,,,
3,20120101 17:00,0.239834268,-1.092440932,-2.660245811,-0.431847593,-6.094737369,,,,,,
3,20120101 18:00,0.392613082,-0.257081568,-2.897894272,0.637992761,-6.972266282,,,,,,
3,20120101 19:00,0.42655347,0.172329446,-2.919188937,1.410655238,-7.265679843,,,,,,
3,20120101 20:00,0.511805306,0.267065484,-2.820381692,1.646133327,-7.195716166,,,,,,
3,20120101 21:00,0.572864076,0.353833071,-3.244145525,1.480845823,-6.844813072,,,,,,
3,20120101 22:00,0.54925888,0.717283012,-4.194313479,1.436127628,-6.482520541,,,,,,
3,20120101 23:00,0.569863569,1.202030496,-4.860836494,1.84764823,-6.882777858,,,,,,
3,20120102 0:00,0.745869481,1.760264815,-5.363816481,2.530308265,-7.434351965,,,,,,
3,20120102 1:00,0.849110787,2.537154579,-6.095033238,3.627174982,-8.461417832,,,,,,
3,20120102 2:00,0.835695879,3.012652085,-5.857783582,4.241054122,-8.05026818,,,,,,
3,20120102 3:00,0.727546,3.264386059,-5.550754615,4.585033656,-7.606462111,,,,,,
3,20120102 4:00,0.609815778,3.284654495,-5.213699399,4.636319762,-7.168009553,,,,,,
3,20120102 5:00,0.600802122,3.077916448,-4.94261735,4.430657299,-6.853223101,,,,,,
3,20120102 6:00,0.566121277,2.298797773,-4.732433608,3.487821827,-6.84305143,,,,,,
3,20120102 7:00,0.450437744,1.953018256,-4.074393563,3.332409387,-6.870354336,,,,,,
3,20120102 8:00,0.449661291,0.955000473,-2.926629628,2.396826495,-6.498820667,,,,,,
3,20120102 9:00,0.391284326,0.333570228,-2.768463191,1.333805402,-6.84786959,,,,,,
3,20120102 10:00,0.340081385,-0.122469579,-2.89575757,0.368694147,-7.320049268,,,,,,
3,20120102 11:00,0.46694004,0.635164554,-2.40518787,1.609403464,-6.366053592,,,,,,
3,20120102 12:00,0.495310205,1.944100144,0.32254882,3.756167307,0.030321457,,,,,,
3,20120102 13:00,0.372495421,0.357892351,2.39351418,0.784163405,5.725386552,,,,,,
3,20120102 14:00,0.453770432,-0.257862731,2.381249937,-0.802079571,5.797658952,,,,,,
3,20120102 15:00,0.199462106,-0.240837245,2.366448265,-0.630089803,5.759649023,,,,,,
3,20120102 16:00,0.018216805,-0.829837992,1.976529935,-1.907062022,4.930390156,,,,,,
3,20120102 17:00,0,-1.103461877,1.693183643,-2.891858853,3.323266127,,,,,,
3,20120102 18:00,0,-0.828216517,1.836125504,-2.535964364,2.53790605,,,,,,
3,20120102 19:00,0.049624375,-0.726468969,1.871226612,-2.348433353,2.245604345,,,,,,
3,20120102 20:00,0.157291268,-0.629991214,1.419564164,-2.10754407,1.582839672,,,,,,
3,20120102 21:00,0.035289404,-0.59958856,1.726170227,-1.331517951,1.558213521,,,,,,
3,20120102 22:00,0.01669765,-1.303308655,0.909117934,-1.946433174,0.854226813,,,,,,
3,20120102 23:00,0.044533518,-1.646655959,-1.059927342,-2.084750246,-1.536651239,,,,,,
3,20120103 0:00,0.006965606,-0.045044154,-2.447478362,-0.073713266,-3.267441374,,,,,,
3,20120103 1:00,0.013308247,0.777393719,2.658797058,0.970902271,3.457330721,,,,,,
3,20120103 2:00,0.005224542,3.025320532,1.213761488,3.959584372,1.501538829,,,,,,
3,20120103 3:00,0,0.478962056,-0.956640739,0.811004251,-1.268164223,,,,,,
3,20120103 4:00,0.041479904,1.468049853,-2.172013392,2.066673993,-2.802515212,,,,,,
3,20120103 5:00,0.030750845,4.655842619,-1.321734652,6.439884828,-1.731694554,,,,,,
3,20120103 6:00,0.006073018,4.937996192,-1.045613205,6.889010148,-1.392246045,,,,,,
3,20120103 7:00,0.008756184,4.370200884,-0.734428718,6.598842271,-1.095980196,,,,,,
3,20120103 8:00,0.021157439,3.465216555,-1.033779429,6.211795006,-1.740987025,,,,,,
3,20120103 9:00,0.014507366,2.428457206,-0.977678564,5.789946408,-2.090821237,,,,,,
3,20120103 10:00,0.072777195,2.235445559,-0.91018221,5.578786964,-2.00117622,,,,,,
3,20120103 11:00,0.022469538,2.157930841,-1.372137773,5.638513577,-2.880681294,,,,,,
3,20120103 12:00,0.005375783,2.126149807,-1.075855078,5.596657919,-2.307281156,,,,,,
3,20120103 13:00,0,2.365282711,-0.755466543,5.156938366,-1.141349321,,,,,,
3,20120103 14:00,0,2.537365384,-0.082256159,5.198323735,0.040434377,,,,,,
3,20120103 15:00,0.013341556,2.7733977,1.833939023,6.543818541,4.229152452,,,,,,
3,20120103 16:00,0.372701582,3.135003858,4.363737419,5.259461213,7.232260517,,,,,,
3,20120103 17:00,0.897476622,3.465991702,4.707355219,5.523292946,7.416470094,,,,,,
3,20120103 18:00,0.922948484,3.215619164,4.957179385,5.002683805,7.747172748,,,,,,
3,20120103 19:00,0.921274476,3.046249506,5.248640912,4.702639875,8.184465513,,,,,,
