ZONEID,TIMESTAMP,TARGETVAR,U10,V10,U100,V100
7,20120101 1:00,0,-0.307548429,0.371262701,-0.625437752,0.298532615
7,20120101 2:00,0.014708137,0.140012947,0.751585418,0.024957256,0.797498375
7,20120101 3:00,0.035097784,0.676112677,1.472196882,0.674786212,1.626757775
7,20120101 4:00,0.045054711,0.90719778,2.258821808,0.936868796,2.625774004
7,20120101 5:00,0.050159508,0.7394176,2.907883198,0.720636513,3.501675856
7,20120101 6:00,0.052491981,0.014288485,3.455156089,-0.234295062,4.277784555
7,20120101 7:00,0.039935307,-1.068978269,3.459840915,-1.687353363,4.39927187
7,20120101 8:00,0.04145932,-1.771530103,3.023300282,-2.806440336,4.083079437
7,20120101 9:00,0.166541211,-2.153573098,2.27713522,-4.065908478,3.654619708
7,20120101 10:00,0.189335594,-2.432911603,1.487529041,-5.457833044,2.863867449
7,20120101 11:00,0.167779411,-2.876046062,0.897240927,-6.491445999,1.775905149
7,20120101 12:00,0.187571804,-3.178404539,0.369133235,-7.087499911,0.686858142
7,20120101 13:00,0.281207435,-3.467924954,-0.16962179,-7.505247097,-0.422798322
7,20120101 14:00,0.335072897,-3.575056362,-0.718172361,-7.66487407,-1.581809006
7,20120101 15:00,0.276823573,-3.296160549,-1.159823714,-7.269769008,-2.648619497
7,20120101 16:00,0.277813691,-3.023019728,-1.669192101,-6.713338814,-3.979556427
7,20120101 17:00,0.246772744,-2.7879504,-2.132138118,-6.035773256,-5.176531898
7,20120101 18:00,0.272658203,-2.471868478,-2.452835773,-4.974423699,-6.047552563
7,20120101 19:00,0.323212185,-1.95126296,-3.261181257,-3.321548655,-7.669733639
7,20120101 20:00,0.494153124,-0.94413919,-4.228810836,-0.764120761,-9.11348022
7,20120101 21:00,0.800716506,-0.457620938,-4.892352598,-0.046365434,-9.359166621
7,20120101 22:00,0.73665527,-0.474885917,-5.345503069,-0.073535983,-9.592378879
7,20120101 23:00,0.732172997,0.120091818,-6.067818107,0.481196053,-9.06846483
7,20120102 0:00,0.689025248,1.15289171,-6.339112139,1.825006106,-9.108599033
7,20120102 1:00,0.535971552,3.799472766,-6.337357753,5.329977288,-9.149879358
7,20120102 2:00,0.086937134,5.583500494,-6.728121893,7.872524813,-9.796583497
7,20120102 3:00,0.131564172,7.503326742,-5.844673529,10.34824499,-8.912718816
7,20120102 4:00,0.518229559,8.045710086,-3.750871304,11.30247737,-5.662602235
7,20120102 5:00,0.551510189,6.581518277,-2.545592302,9.040190282,-3.94626658
7,20120102 6:00,0.479504992,5.347170531,-1.021865899,7.306305489,-1.674236474
7,20120102 7:00,0.655908359,5.178537145,0.268839896,7.385565833,0.133644221
7,20120102 8:00,0.442494603,5.254341095,1.080394424,7.64562265,1.520203593
7,20120102 9:00,0.247957814,3.97864574,1.285926212,6.303895248,2.049665839
7,20120102 10:00,0.173774305,3.454909356,1.527827822,6.15987972,2.790056423
7,20120102 11:00,0.157745449,2.670520887,1.466083705,5.24968086,3.042742146
7,20120102 12:00,0.056378956,1.372124883,1.128182679,3.226210886,2.820571436
7,20120102 13:00,0.010636779,0.696780599,1.131565919,1.425498742,2.278796114
7,20120102 14:00,0.091631362,0.082646992,1.193310036,0.585753522,2.145493688
7,20120102 15:00,0.03872165,-0.579725493,1.02499388,-0.17732156,1.963474311
7,20120102 16:00,0,-1.181698039,0.329738203,-1.197345211,1.316770171
7,20120102 17:00,0,-1.242503347,0.348346019,-1.82521147,1.043205755
7,20120102 18:00,0,-1.139134324,-0.055951078,-2.28730446,0.495006219
7,20120102 19:00,0,-1.088463234,0.347077305,-2.376925634,0.185037927
7,20120102 20:00,0,-1.379517974,-0.16632926,-3.392804953,-0.20469768
7,20120102 21:00,0.026521272,-0.158952764,-0.875117895,-1.120675074,-1.302167453
7,20120102 22:00,0.094436859,-0.59026508,-0.991416746,-0.863726505,-1.687620252
